"target","interaction_type","source"
"Amblyraja radiata","eats","Amphipoda"
"Amblyraja radiata","eats","Isopoda"
"Amblyraja radiata","eats","Carcinus maenas"
"Anarhichas lupus","eats","Amphipoda"
"Anarhichas lupus","eats","Littorina"
"Artediellus","eats","Amphipoda"
"Aspidophoroides monopterygius","eats","Amphipoda"
"Aspidophoroides monopterygius","eats","Isopoda"
"Brosme brosme","eats","Isopoda"
"Brosme brosme","eats","Amphipoda"
"Chionoecetes opilio","eats","Amphipoda"
"Chlorophthalmus agassizi","eats","Nematoda"
"Chlorophthalmus agassizi","eats","Amphipoda"
"Citharichthys arctifrons","eats","Amphipoda"
"Clupea harengus","eats","Amphipoda"
"Clupea harengus","eats","Isopoda"
"Cryptacanthodes maculatus","eats","Amphipoda"
"Cyclopterus lumpus","eats","Amphipoda"
"Cyclopterus lumpus","eats","Polysiphonia"
"Cyclopterus lumpus","eats","Isopoda"
"Cyclopterus lumpus","eats","Fucus"
"Cyclopterus lumpus","eats","Ulva lactuca"
"Cyclopterus lumpus","eats","Chondrus crispus"
"Enchelyopus cimbrius","eats","Amphipoda"
"Enchelyopus cimbrius","eats","Isopoda"
"Enchelyopus cimbrius","eats","Mytilus edulis"
"Gadus morhua","eats","Littorina"
"Gadus morhua","eats","Isopoda"
"Gadus morhua","eats","Amphipoda"
"Gadus morhua","eats","Modiolus modiolus"
"Gadus morhua","eats","Fucus"
"Gadus morhua","eats","Mytilus edulis"
"Gadus morhua","eats","Carcinus maenas"
"Gadus morhua","eats","Nematoda"
"Gasterosteus aculeatus","eats","Amphipoda"
"Glyptocephalus cynoglossus","eats","Amphipoda"
"Glyptocephalus cynoglossus","eats","Littorina"
"Glyptocephalus cynoglossus","eats","Mytilus edulis"
"Glyptocephalus cynoglossus","eats","Isopoda"
"Helicolenus dactylopterus","eats","Amphipoda"
"Hippoglossoides platessoides","eats","Amphipoda"
"Hippoglossoides platessoides","eats","Isopoda"
"Hippoglossoides platessoides","eats","Nematoda"
"Hippoglossus hippoglossus","eats","Amphipoda"
"Hippoglossus hippoglossus","eats","Nematoda"
"Homarus americanus","eats","Amphipoda"
"Homarus americanus","eats","Isopoda"
"Homarus americanus","eats","Corallina officinalis"
"Homarus americanus","eats","Modiolus modiolus"
"Homarus americanus","eats","Mytilus edulis"
"Homarus americanus","eats","Carcinus maenas"
"Illex illecebrosus","eats","Amphipoda"
"Lebbeus polaris","eats","Amphipoda"
"Leucoraja erinacea","eats","Isopoda"
"Leucoraja erinacea","eats","Amphipoda"
"Leucoraja erinacea","eats","Nematoda"
"Leucoraja ocellata","eats","Isopoda"
"Leucoraja ocellata","eats","Amphipoda"
"Limanda ferruginea","eats","Amphipoda"
"Limanda ferruginea","eats","Isopoda"
"Loligo pealeii","eats","Amphipoda"
"Macrouridae","eats","Amphipoda"
"Macrouridae","eats","Isopoda"
"Macrouridae","eats","Nematoda"
"Macrozoarces americanus","eats","Isopoda"
"Macrozoarces americanus","eats","Amphipoda"
"Majidae","eats","Mytilus edulis"
"Malacoraja senta","eats","Nematoda"
"Malacoraja senta","eats","Amphipoda"
"Malacoraja senta","eats","Isopoda"
"Melanogrammus aeglefinus","eats","Isopoda"
"Melanogrammus aeglefinus","eats","Amphipoda"
"Melanogrammus aeglefinus","eats","Modiolus modiolus"
"Melanogrammus aeglefinus","eats","Littorina"
"Melanogrammus aeglefinus","eats","Mytilus edulis"
"Melanogrammus aeglefinus","eats","Carcinus maenas"
"Melanogrammus aeglefinus","eats","Nematoda"
"Merluccius bilinearis","eats","Amphipoda"
"Merluccius bilinearis","eats","Isopoda"
"Merluccius bilinearis","eats","Mytilus edulis"
"Myctophidae","eats","Amphipoda"
"Myctophidae","eats","Isopoda"
"Myoxocephalus octodecemspinosus","eats","Amphipoda"
"Myoxocephalus octodecemspinosus","eats","Isopoda"
"Octopoda","eats","Isopoda"
"Octopoda","eats","Amphipoda"
"Pandalus borealis","eats","Amphipoda"
"Paralichthys oblongus","eats","Amphipoda"
"Pasiphaea multidentata","eats","Amphipoda"
"Pasiphaea multidentata","eats","Isopoda"
"Peprilus triacanthus","eats","Amphipoda"
"Pollachius virens","eats","Amphipoda"
"Pollachius virens","eats","Isopoda"
"Pollachius virens","eats","Nematoda"
"Pollachius virens","eats","Semibalanus balanoides"
"Pollachius virens","eats","Mytilus edulis"
"Pollachius virens","eats","Carcinus maenas"
"Prionotus carolinus","eats","Amphipoda"
"Prionotus carolinus","eats","Isopoda"
"Prionotus carolinus","eats","Littorina"
"Prionotus carolinus","eats","Mytilus edulis"
"Prionotus carolinus","eats","Carcinus maenas"
"Pseudopleuronectes americanus","eats","Isopoda"
"Pseudopleuronectes americanus","eats","Amphipoda"
"Pseudopleuronectes americanus","eats","Mytilus edulis"
"Reinhardtius hippoglossoides","eats","Amphipoda"
"Reinhardtius hippoglossoides","eats","Isopoda"
"Scomber scombrus","eats","Amphipoda"
"Scomber scombrus","eats","Littorina"
"Scomber scombrus","eats","Carcinus maenas"
"Scomber scombrus","eats","Nematoda"
"Scomber scombrus","eats","Isopoda"
"Scophthalmus aquosus","eats","Amphipoda"
"Scophthalmus aquosus","eats","Littorina"
"Scophthalmus aquosus","eats","Mytilus edulis"
"Sebastes fasciatus","eats","Amphipoda"
"Sepiolidae","eats","Amphipoda"
"Squalus acanthias","eats","Amphipoda"
"Squalus acanthias","eats","Isopoda"
"Squalus acanthias","eats","Carcinus maenas"
"Stenotomus chrysops","eats","Amphipoda"
"Stenotomus chrysops","eats","Mytilus edulis"
"Tautogolabrus adspersus","eats","Amphipoda"
"Tautogolabrus adspersus","eats","Isopoda"
"Triglops murrayi","eats","Amphipoda"
"Alosa aestivalis","eats","Isopoda"
"Alosa aestivalis","eats","Amphipoda"
"Alosa mediocris","eats","Isopoda"
"Alosa mediocris","eats","Amphipoda"
"Alosa pseudoharengus","eats","Amphipoda"
"Alosa sapidissima","eats","Amphipoda"
"Alosa sapidissima","eats","Isopoda"
"Ammodytes americanus","eats","Amphipoda"
"Ammodytes americanus","eats","Isopoda"
"Ammodytes americanus","eats","Semibalanus balanoides"
"Ammodytes americanus","eats","Cyanobacteria"
"Ammodytes americanus","eats","Mytilus edulis"
"Ammodytes dubius","eats","Amphipoda"
"Argentina silus","eats","Amphipoda"
"Argentina silus","eats","Isopoda"
"Cancer borealis","eats","Mytilus edulis"
"Cancer borealis","eats","Amphipoda"
"Cancer irroratus","eats","Hildenbrandia rubra"
"Cancer irroratus","eats","Alaria esculenta"
"Cancer irroratus","eats","Fucus"
"Cancer irroratus","eats","Amphipoda"
"Cancer irroratus","eats","Littorina"
"Urophycis chuss","eats","Amphipoda"
"Urophycis chuss","eats","Isopoda"
"Urophycis regia","eats","Amphipoda"
"Urophycis tenuis","eats","Amphipoda"
"Mytilus edulis","eats","Cyanobacteria"
"Mytilus edulis","eats","Mytilus edulis"
"Semibalanus balanoides","eats","Cyanobacteria"
"Amphipoda","eats","Cyanobacteria"
"Carcinus maenas","eats","Carcinus maenas"
"Carcinus maenas","eats","Amphipoda"
"Carcinus maenas","eats","Ceramium virgatum"
"Carcinus maenas","eats","Polysiphonia"
"Carcinus maenas","eats","Fucus"
"Carcinus maenas","eats","Isopoda"
"Carcinus maenas","eats","Ascophyllum nodosum"
"Carcinus maenas","eats","Ulva lactuca"
"Carcinus maenas","eats","Chondrus crispus"
"Carcinus maenas","eats","Mastocarpus stellatus"
"Carcinus maenas","eats","Corallina officinalis"
"Carcinus maenas","eats","Littorina"
"Carcinus maenas","eats","Semibalanus balanoides"
"Carcinus maenas","eats","Nucella lapillus"
"Carcinus maenas","eats","Mytilus edulis"
"Isopoda","eats","Cyanobacteria"
"Isopoda","eats","Ceramium virgatum"
"Isopoda","eats","Amphipoda"
"Metridium senile","eats","Amphipoda"
"Nucella lapillus","eats","Semibalanus balanoides"
"Nucella lapillus","eats","Mytilus edulis"
"Nucella lapillus","eats","Littorina"
"Nucella lapillus","eats","Polysiphonia"
"Nucella lapillus","eats","Fucus"
"Nucella lapillus","eats","Ulva lactuca"
"Nucella lapillus","eats","Corallina officinalis"
"Littorina","eats","Fucus"
"Littorina","eats","Polysiphonia"
"Littorina","eats","Cyanobacteria"
"Littorina","eats","Verrucaria"
"Littorina","eats","Mastocarpus stellatus"
"Littorina","eats","Ceramium virgatum"
"Littorina","eats","Ulva lactuca"
"Littorina","eats","Hildenbrandia rubra"
"Littorina","eats","Alaria esculenta"
"Littorina","eats","Ascophyllum nodosum"
"Zostera marina","eats","Amphipoda"
"Balanus balanus","eats","Nucella lapillus"
"Balanus crenatus","eats","Carcinus maenas"
"Balanus crenatus","eats","Nucella lapillus"
"Panopeus herbstii","eats","Carcinus maenas"
"Pseudopleuronectes americanus","eats","Carcinus maenas"
"Zostera marina","eats","Carcinus maenas"
"Ulva lactuca","eats","Littorina"
"Zostera marina","eats","Littorina"
"Chaetomorpha linum","eats","Littorina"
