"","species","MDS1","MDS2","MDS3"
"1","amblyraja_radiata",-0.196274373680685,-0.0281895387767658,-0.07636554198577
"2","anarhichas_lupus",-0.187722522521397,-0.0465831659956161,0.152331400514951
"3","artediellus_sp",0.145587205736581,0.133818478184593,-0.249328862284778
"4","aspidophoroides_monopterygius",0.302991404435562,-0.107357575415608,-0.0449425385354852
"5","bathypolypus_arcticus",0.487923015570728,-0.100221679947418,0.0667963225635306
"6","brosme_brosme",-0.298457865673273,-0.0616753713768978,-0.00840105508833045
"7","chionoecetes_opilio",0.168486757332345,0.0191335225557893,0.0633264095296849
"8","chlorophthalmus_agassizi",0.349090575661943,-0.162516145465835,0.0369200279735188
"9","citharichthys_arctifrons",0.257433676400806,-0.20145870689665,0.0684168935140043
"10","clupea_harengus",0.178253964755397,-0.022433574622368,0.206981422554604
"11","crangon_septemspinosa",0.220864323774914,0.305663919851984,-0.152528360392614
"12","crustacea_shrimp",0.322700078958537,0.0915403397058127,0.168003926815258
"13","cryptacanthodes_maculatus",-0.23126721477167,0.0197817828641401,0.242909211390486
"14","cyclopterus_lumpus",-0.344732633621552,0.242647146873791,-0.0490579797190943
"15","dichelopandalus_leptocerus",0.239757326059056,0.301685294973442,0.266050440831385
"16","dipturus_laevis",0.429209657589294,0.0358394398286497,-0.0516374066801771
"17","enchelyopus_cimbrius",-0.0539939245452098,-0.201478412904795,-0.0294358059279419
"18","gadus_morhua",-0.196256197680777,0.0629869141608459,-0.0223846737802869
"19","gasterosteus_aculeatus",0.274055400448287,0.238163923087579,-0.232355645870506
"20","geryon_quinquedens",-0.264515736084904,0.09033817438476,0.140995902450412
"21","glyptocephalus_cynoglossus",-0.0420340339184624,-0.134666323599965,-0.095726907206448
"22","helicolenus_dactylopterus",0.344103137202526,-0.0105585645265979,0.146398026005559
"23","hemitripterus_americanus",-0.135605860556402,0.0764142873692263,-0.0347087592780007
"24","hippoglossoides_platessoides",-0.0960004605302261,-0.0526478026884666,0.0450854284740067
"25","hippoglossus_hippoglossus",-0.110870646602237,0.0199115628386215,-0.00538606406054735
"26","homarus_americanus",0.148024952003229,-0.041914292324581,0.113259941703759
"27","illex_illecebrosus",-0.0890994953872061,0.0363767972666935,0.0698508435357921
"28","lebbeus_polaris",0.263352521627248,0.0187849666885437,-0.0198870601833107
"29","leucoraja_erinacea",-0.145101808268676,-0.00265784501013577,0.0394665528728567
"30","leucoraja_ocellata",-0.0987516561892002,0.0438198849151999,-0.0327083149670654
"31","limanda_ferruginea",0.0967861663188201,0.0543248407475841,0.0422797351237431
"32","lithodes_maja",-0.208101899348444,0.161782027831139,0.206319620465901
"33","loligo_pealeii",-0.0625122428516785,0.0855227099707616,-0.0800521826773084
"34","lophius_americanus",-0.0135294031740402,-0.191519823527452,-0.0292944283643163
"35","lumpenus_lumpretaeformis",-0.200273034784473,-0.176755542153634,-0.282230960659974
"36","lumpenus_maculatus",-0.0386401281341397,-0.00593170958560879,-0.41180292999986
"37","lycenchelys_verrilli",0.441255380777744,-0.0706760756500484,-0.0481144478332726
"38","macrouridae",0.0417173694043934,-0.132082188041199,0.10778381592654
"39","macrozoarces_americanus",-0.289819148506296,-0.0524982773674391,-0.00209552675398607
"40","majidae",0.0560139312213783,0.211220382436557,-0.191898108635582
"41","malacoraja_senta",0.0560773243470408,-0.0130300277637969,0.034673064433853
"42","maurolicus_weitzmani",0.609564283880833,0.0272251571525572,-0.148127579913869
"43","melanogrammus_aeglefinus",0.187079656386337,-0.167378726908395,0.0200340415697236
"44","melanostigma_atlanticum",0.161703617062618,-0.0253974379087489,-0.136572599189682
"45","merluccius_bilinearis",0.280935948808638,-0.226506332662093,0.178186309031224
"46","myctophidae",0.243350866163055,-0.237464422938006,-0.21773234545076
"47","myoxocephalus_octodecemspinosus",-0.028648182752456,0.0671641029804587,0.055159158151258
"48","myxine_glutinosa",-0.0866342849013752,-0.0651391109511777,-0.0147646554526653
"49","octopoda",-0.0705613215499219,0.218874231010749,-0.242501732258148
"50","pandalus_borealis",-0.0217754544122472,0.364141001050826,0.119236975955799
"51","pandalus_montagui",0.0990083005115518,0.450270095457039,0.0259944145076764
"52","pandalus_propinquus",0.323628825210752,0.334527921336147,0.0795738420446198
"53","paralepidae",0.137237452406549,-0.0523690812541024,-0.228425862043612
"54","paralichthys_oblongus",-0.0880248813046003,-0.0287427760186318,0.0826170327268822
"55","pasiphaea_multidentata",0.286063679688712,0.248010081202995,0.172215200831351
"56","peprilus_triacanthus",-0.0932966116349168,-0.0441812095124816,-0.161746028258502
"57","petromyzon_marinus",0.325027423330118,0.134969511605105,0.0943920532992443
"58","placopecten_magellanicus",-0.101305678348786,-0.0505169429716261,0.0790107320981574
"59","pollachius_virens",-0.12802239958232,0.0500820455609853,-0.125729356075767
"60","pontophilus_norvegicus",0.391125073716976,-0.0602411456008745,-0.0360959740742468
"61","prionotus_carolinus",0.0736428105906936,-0.255918291769973,-0.0273649990127802
"62","pseudopleuronectes_americanus",-0.141084498581897,-0.0415417434422146,-0.0736865354717239
"63","reinhardtius_hippoglossoides",0.244384260047596,0.239445496010154,-0.0183015303055608
"64","scomber_scombrus",-0.172479347582827,-0.120466997461456,-0.0795133208063914
"65","scomberesox_saurus",0.0674047462780635,-0.322158311734666,0.000111789357367882
"66","scophthalmus_aquosus",-0.0768321143429164,-0.0167788720716568,0.0449321435931961
"67","sebastes_fasciatus",0.266347846419636,0.160709067288919,-0.0421155211326357
"68","sepiolidae",0.535445763921256,-0.0588445166924678,-0.0587270614547386
"69","spirontocaris_liljeborgii",0.33771912670738,0.0584738661761517,-0.165895259398985
"70","squalus_acanthias",-0.0696869999949724,0.13104612459249,0.102672440838524
"71","stenotomus_chrysops",0.0267997749106785,-0.176605023228759,0.117255259486479
"72","stoloteuthis_leucoptera",0.385811641639964,-0.168551301136687,0.0459093691390867
"73","tautogolabrus_adspersus",0.152898221471357,-0.0241067510077636,0.175882342742338
"74","triglops_murrayi",0.0441818969034298,-0.232325230020963,0.0273550898475027
"75","sum_alosa",0.0393242699691399,-0.103452360643562,0.0620752367836643
"76","sum_ammodytes",-0.0983425686898471,0.192823225961252,-0.147285531963472
"77","sum_argentina",-0.14901685259381,0.133155391604112,-0.0588584659687051
"78","sum_cancer",-0.132164310901905,0.0147836537101591,0.106199050287662
"79","sum_urophycis",-0.001643682710873,-0.255763535564614,0.0620882870773606
